codigo_tuss;descricao;inicio_vigencia;fim_vigencia
81000014;Condicionamento em Odontologia;2010-06-09;
81000030;Consulta odontológica;2010-06-09;
81000049;Consulta odontológica de Urgência;2010-06-09;
81000057;Consulta odontológica de Urgência 24 hs;2010-06-09;
81000065;Consulta odontológica inicial;2010-06-09;
81000073;Consulta odontológica para avaliação técnica de auditoria;2010-06-09;
81000090;Consulta para Técnica de Clareamento Dentário Caseiro;2010-06-09;
81000111;Diagnóstico anatomopatológico em citologia esfoliativa na região buco-maxilo-facial;2010-06-09;
81000138;Diagnóstico anatomopatológico em material de biópsia na região buco-maxilo-facial;2010-06-09;
81000154;Diagnóstico anatomopatológico em peça cirúrgica na região buco-maxilo-facial;2010-06-09;
81000170;Diagnóstico anatomopatológico em punção na região buco-maxilo-facial;2010-06-09;
81000189;Diagnóstico e planejamento para tratamento odontológico;2010-06-09;
81000197;Diagnóstico e tratamento de estomatite herpética;2010-06-09;
81000200;Diagnóstico e tratamento de estomatite por candidose;2010-06-09;
81000219;Diagnóstico e tratamento de halitose;2010-06-09;
81000235;Diagnóstico e tratamento de xerostomia;2010-06-09;
81000243;Diagnóstico por meio de enceramento;2010-06-09;
81000260;Diagnóstico por meio de procedimentos laboratoriais;2010-06-09;
81000278;Fotografia;2010-06-09;
81000294;Levantamento Radiográfico (Exame Radiodôntico);2010-06-09;
81000308;Modelos ortodônticos;2010-06-09;
81000324;Radiografia antero-posterior;2010-06-09;
81000340;Radiografia da ATM;2010-06-09;
81000367;Radiografia da mão e punho - carpal;2010-06-09;
81000375;Radiografia interproximal - bite-wing;2010-06-09;
81000405;Radiografia panorâmica de mandíbula/maxila (ortopantomografia);2010-06-09;
81000413;Radiografia panorâmica de mandíbula/maxila (ortopantomografia) com traçado para implantes;2013-12-01;
81000421;Radiografia periapical;2010-06-09;
81000430;Radiografia póstero-anterior;2010-06-09;
81000456;Slide;2010-06-09;
81000472;Telerradiografia;2010-06-09;
81000480;Telerradiografia com traçado cefalométrico;2010-06-09;
81000510;Tomografia computadorizada por feixe cônico - cone beam;2010-06-09;
81000529;Tomografia convencional - linear ou multi-direcional;2010-06-09;
81000537;Traçado Cefalométrico;2010-06-09;
81000545;Diagnóstico e tratamento de trismo;2013-12-01;
81000553;Documentação odontológica em mídia digital;2013-12-01;
81000561;Radiografia lateral corpo da mandíbula;2013-12-01;
81000570;Técnica de localização radiográfica;2013-12-01;
82000026;Acompanhamento de tratamento/procedimento cirúrgico em odontologia;2010-06-09;
82000034;Alveoloplastia;2010-06-09;
82000050;Amputação radicular com obturação retrógrada;2010-06-09;
82000069;Amputação radicular sem obturação retrógrada;2010-06-09;
82000077;Apicetomia birradiculares com obturação retrógrada;2010-06-09;
82000085;Apicetomia birradiculares sem obturação retrógrada;2010-06-09;
82000158;Apicetomia multirradiculares com obturação retrógrada;2010-06-09;
82000166;Apicetomia multirradiculares sem obturação retrógrada;2010-06-09;
82000174;Apicetomia unirradiculares com obturação retrógrada;2010-06-09;
82000182;Apicetomia unirradiculares sem obturação retrógrada;2010-06-09;
82000190;Aprofundamento/aumento de vestíbulo;2010-06-09;
82000212;Aumento de coroa clínica;2010-06-09;
82000280;Biópsia de maxila;2010-06-09;
82000298;Bridectomia;2010-06-09;
82000301;Bridotomia;2010-06-09;
82000336;Cirurgia odontológica a retalho;2010-06-09;
82000344;Cirurgia odontológica com aplicação de aloenxertos;2010-06-09;
82000352;Cirurgia para exostose maxilar;2010-06-09;
82000360;Cirurgia para torus mandibular - bilateral;2010-06-09;
82000387;Cirurgia para torus mandibular - unilateral;2010-06-09;
82000395;Cirurgia para torus palatino;2010-06-09;
82000417;Cirurgia periodontal a retalho;2010-06-09;
82000441;Coleta de raspado em lesões ou sítios específicos da região buco-maxilo-facial;2010-06-09;
82000468;Controle de hemorragia com aplicação de agente hemostático em região buco-maxilo-facial;2010-06-09;
82000484;Controle de hemorragia sem aplicação de agente hemostático em região buco-maxilo-facial;2010-06-09;
82000506;Controle pós-operatório em odontologia;2010-06-09;
82000522;Criocirurgia de neoplasias da região buco-maxilo-facial;2010-06-09;
82000549;Crioterapia ou termoterapia em odontologia;2010-06-09;
82000557;Cunha proximal;2010-06-09;
82000581;Enxerto com osso autógeno da linha oblíqua;2010-06-09;
82000603;Enxerto com osso autógeno do mento;2010-06-09;
82000620;Enxerto com osso liofilizado;2010-06-09;
82000646;Enxerto conjuntivo subepitelial;2010-06-09;
82000662;Enxerto gengival livre;2010-06-09;
82000689;Enxerto pediculado;2010-06-09;
82000700;Estabilização de paciente por meio de contenção física e/ou mecânica;2010-06-09;
82000743;Exérese de lipoma na região buco-maxilo-facial;2010-06-09;
82000778;Exérese ou excisão de cálculo salivar;2010-06-09;
82000786;Exérese ou excisão de cistos odontológicos;2010-06-09;
82000794;Exérese ou excisão de mucocele;2010-06-09;
82000808;Exérese ou excisão de rânula;2010-06-09;
82000816;Exodontia a retalho;2010-06-09;
82000832;Exodontia de permanente por indicação ortodôntica/protética;2010-06-09;
82000859;Exodontia de raiz residual;2010-06-09;
82000875;Exodontia simples de permanente;2010-06-09;
82000883;Frenulectomia labial;2010-06-09;
82000891;Frenulectomia lingual;2010-06-09;
82000905;Frenulotomia labial;2010-06-09;
82000913;Frenulotomia lingual;2010-06-09;
82000921;Gengivectomia;2010-06-09;
82000948;Gengivoplastia;2010-06-09;
82000964;Implante ortodôntico;2010-06-09;
82000980;Implante ósseo integrado;2010-06-09;
82001006;Implante Zigomático;2010-06-09;
82001022;Incisão e Drenagem extra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;2010-06-09;
82001030;Incisão e Drenagem intra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;2010-06-09;
82001049;Levantamento do seio maxilar com osso autógeno;2010-06-09;
82001057;Levantamento do seio maxilar com osso homólogo;2010-06-09;
82001065;Levantamento do seio maxilar com osso liofilizado;2010-06-09;
82001073;Odonto-secção;2010-06-09;
82001103;Punção aspirativa na região buco-maxilo-facial;2010-06-09;
82001120;Punção aspirativa orientada por imagem na região buco-maxilo-facial;2010-06-09;
82001138;Reabertura - colocação de cicatrizador;2010-06-09;
82001170;Redução cruenta de fratura alvéolo dentária;2010-06-09;
82001189;Redução incruenta de fratura alvéolo dentária;2010-06-09;
82001197;Redução simples de luxação de Articulação Têmporo-mandibular (ATM);2010-06-09;
82001219;Reeducação e/ou reabilitação de distúrbio buco-maxilo-facial;2010-06-09;
82001235;Reeducação e/ou reabilitação de sequela em traumatismo buco-maxilo-facial;2010-06-09;
82001243;Regeneração tecidual guiada - RTG;2010-06-09;
82001251;Reimplante dentário com contenção;2010-06-09;
82001286;Remoção de dentes inclusos / impactados;2010-06-09;
82001294;Remoção de dentes semi-inclusos / impactados;2010-06-09;
82001308;Remoção de dreno extra-oral;2010-06-09;
82001316;Remoção de dreno intra-oral;2010-06-09;
82001324;Remoção de implante dentário não ósseo integrado;2010-06-09;
82001332;Remoção de implante dentário ósseo integrado no seio maxilar;2010-06-09;
82001367;Remoção de odontoma;2010-06-09;
82001375;Remoção de tamponamento nasal;2010-06-09;
82001391;Retirada de corpo estranho oroantral ou oronasal da região buco-maxilo-facial;2010-06-09;
82001413;Retirada de corpo estranho subcutâneo ou submucoso da região buco-maxilo-facial;2010-06-09;
82001430;Retirada dos meios de fixação da região buco-maxilo-facial;2010-06-09;
82001448;Sedação consciente com óxido nitroso e oxigênio em odontologia;2010-06-09;
82001456;Sedação medicamentosa ambulatorial em odontologia;2010-06-09;
82001464;Sepultamento radicular;2010-06-09;
82001499;Sutura de ferida em região buco-maxilo-facial;2010-06-09;
82001502;Tracionamento cirúrgico com finalidade ortodôntica;2010-06-09;
82001510;Tratamento cirúrgico das fístulas buco nasal;2010-06-09;
82001529;Tratamento cirúrgico das fístulas buco sinusal;2010-06-09;
82001545;Tratamento cirúrgico de bridas constritivas da região buco-maxilo-facial;2010-06-09;
82001553;Tratamento cirúrgico de hiperplasias de tecidos moles na região buco-maxilo-facial;2010-06-09;
82001588;Tratamento cirúrgico de hiperplasias de tecidos ósseos/cartilaginosos na região buco-maxilo-facial;2010-06-09;
82001596;Tratamento cirúrgico de tumores benignos de tecidos ósseos/cartilaginosos na região buco-maxilo-facial;2010-06-09;
82001618;Tratamento cirúrgico dos tumores benignos de tecidos moles na região buco-maxilo-facial;2010-06-09;
82001634;Tratamento Cirúrgico para tumores odontogênicos benignos - sem reconstrução;2010-06-09;
